Matchup,Best Strategy for abbasid_dynasty,Best Strategy for ayyubids,Best Strategy for byzantines,Best Strategy for chinese,Best Strategy for delhi_sultanate,Best Strategy for english,Best Strategy for french,Best Strategy for holy_roman_empire,Best Strategy for japanese,Best Strategy for jeanne_darc,Best Strategy for malians,Best Strategy for mongols,Best Strategy for order_of_the_dragon,Best Strategy for ottomans,Best Strategy for rus,Best Strategy for zhu_xis_legacy
"abbasid_dynasty vs abbasid_dynasty","Fast Feudal, 2 TC rush with camel archers (use House of Wisdom eco bonus; watch for early camel pressure; if uncontested, tech to Castle Age for Scholars)",,,,,,,,,,,,,,"Fast Feudal, 2 TC rush with camel archers (use House of Wisdom eco bonus; watch for early camel pressure; if uncontested, tech to Castle Age for Scholars)",
"abbasid_dynasty vs ayyubids","Rush camel archers, deny early eco with House of Wisdom bonus (watch for horsemen raids; if no rush, 2 TC boom with spears)",,"Rush horsemen early, hit their eco with speed advantage (watch for Abbasid camels; if countered, mass Mamluks with siege)",,,,,,,,,,,,,
"abbasid_dynasty vs byzantines","2 TC boom, use camel archers with eco upgrades (watch for olive oil cavalry rush; if no rush, add siege rams)",,,"Fast Feudal, olive oil eco with cataphract rush (watch for Abbasid camels; if no pressure, boom with cisterns and archers)",,,,,,,,,,,
"abbasid_dynasty vs chinese","Rush spears and archers, disrupt Dynasty eco (watch for Nest of Bees; if no early push, 2 TC boom with camels)",,,,"Dark Age scout harass, transition to Nest of Bees (watch for Abbasid spears; if no rush, fast Feudal with fire lancers)",,,,,,,,,,
"abbasid_dynasty vs delhi_sultanate","Rush camel archers, deny Scholar eco (watch for war elephants; if no elephants, boom with 2 TCs and siege)",,,,,"Fast Feudal, war elephants with Scholar push (tap into gold eco; watch for Abbasid camels; if no rush, fast Castle with towers)",,,,,,,,
"abbasid_dynasty vs english","Fast Feudal, camel archers and spears (use House of Wisdom for eco; watch for longbowmen; if no longbows, add knights)",,,,,,"Mass longbowmen rush, early archer production (watch for Abbasid camels; if no rush, turtle with man-at-arms)",,,,,,,
"abbasid_dynasty vs french","Camel archers with spears, deny trade carts (watch for knight rush; if no knights, boom with 2 TCs and archers)",,,,,,,"Fast knights rush, secure trade with eco edge (watch for Abbasid camels; if no rush, fast Castle with trade posts)",,,,,,
"abbasid_dynasty vs holy_roman_empire","Rush camel archers, deny relic collection (watch for prelate infantry rush; if no relics, boom with 2 TCs and siege)",,,,,,,,"Fast infantry rush, grab relics with Prelates (watch for Abbasid camels; if no rush, boom with crossbowmen)",,,,,
"abbasid_dynasty vs japanese","2 TC boom, camels with eco upgrades vs samurai (watch for early samurai rush; if no rush, use archers)",,,,,,,,,"Fast samurai rush, boost eco with shrines (watch for Abbasid camels; if no boom, mass samurai with monks)",,,,
"abbasid_dynasty vs jeanne_darc","Rush camel archers, disrupt eco with House of Wisdom bonus (watch for Jeanne’s knight conversions; if no knights, use monks)",,,,,,,,,,"Fast knights rush, convert enemy units with inspiration (watch for Abbasid camels; if no rush, boom with monks)",,,
"abbasid_dynasty vs malians","2 TC boom, camel archers with spears (exploit eco bonus; watch for Musofadi ambush; if no rush, tech to Castle for Scholars)",,,,,,,,,,,"Rush Musofadi warriors, cattle boom (watch for Abbasid camels; if no boom, mass infantry with gold)",,
